"STATION","NAME","DATE","TAVG"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-17","17.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-18","18.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-19","19.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-20","20.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-21","21.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-22","22.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-23","17.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-24","16.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-25","19.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-26","20.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-27","21.0"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-28","22.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-29","22.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-30","21.6"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-31","20.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-01","19.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-02","21.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-03","19.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-04","14.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-05","15.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-06","13.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-07","12.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-08","12.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-09","9.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-10","16.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-11","15.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-12","15.5"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-13","17.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-14","17.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-15","18.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-16","16.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-17","16.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-18","17.0"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-19","19.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-20","21.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-21","21.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-22","21.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-23","23.6"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-24","24.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-25","24.6"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-26","22.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-27","23.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-28","23.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-29","20.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-06-30","21.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-01","21.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-02","20.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-03","19.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-04","20.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-05","23.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-06","21.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-07","20.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-08","23.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-09","25.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-10","22.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-11","22.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-12","22.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-13","24.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-14","22.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-15","19.0"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-16","18.6"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-17","20.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-18","23.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-19","25.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-20","26.6"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-21","26.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-22","27.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-23","26.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-24","24.6"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-25","23.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-07-26","23.2"
